,Acquisition_Cost_per_Point,Acquisition_Cost_per_Point,Acquisition_Cost_per_Point,Acquisition_Cost_per_Point,Wage_Cost_per_Point,Wage_Cost_per_Point,Wage_Cost_per_Point,Wage_Cost_per_Point,Attacker_Acquisition_Premium_%,Attacker_Wage_Premium_%
Position_Group,ATT,DEF,GK,MDF,ATT,DEF,GK,MDF,,
Market_Tier,,,,,,,,,,
Elite (75+),0.3068964643906392,0.17944258196488438,0.15091600582618547,0.24484171625139453,1.2019045689393173,0.8477186203761579,0.6507525489561417,0.909166976571216,71.02766858910702,41.78107452753564
Mid-High (65-75),0.04679109501590176,0.0327329786809945,0.026839921160601753,0.045343494937867684,0.1837639575643615,0.14771373266418913,0.11028130111823228,0.16413592240510191,42.94786756779245,24.405466065994407
Development (<65),0.012791115968261556,0.00710482198942132,0.005533049679391143,0.010716338858827907,0.050556105779629566,0.036840628699287684,0.030602664749006213,0.04331644192504795,80.03429202458285,37.22921558232548
